Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	344.79	50.0	14.13	0.294	169.62	50.0	14.13	0.295
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	238.91	50.0	45.45	0.47	162.77	50.0	45.45	0.472
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	1020.61	13.19	2.75	0.054	1016.05	15.38	4.4	0.074
/influence/influence_node/influenced_by	235	236.7	15.11	0.21	0.057	230.07	20.43	0.21	0.069
/organization/organization_member/member_of./organization/organization_membership/organization	96	129.36	48.96	3.65	0.159	100.14	64.58	6.25	0.275
/sports/sports_position/players./sports/sports_team_roster/team	22	93.3	54.55	9.09	0.224	24.11	61.36	25.0	0.373
/location/hud_county_place/county	7	155.57	21.43	7.14	0.135	154.71	28.57	7.14	0.138
/sports/sports_team/roster./american_football/football_roster_position/position	3	24.33	16.67	0.0	0.057	12.67	83.33	0.0	0.206
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	13.89	40.24	4.88	0.165	4.68	91.46	19.51	0.397
/music/artist/origin	34	1896.31	4.41	0.0	0.014	1890.03	4.41	0.0	0.014
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	555.59	27.27	4.55	0.143	545.32	27.27	4.55	0.152
/music/artist/track_contributions./music/track_contribution/role	152	95.14	24.67	2.63	0.099	74.05	32.57	7.57	0.155
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	1586.89	16.67	0.0	0.075	1580.5	16.67	0.0	0.076
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	443.38	33.82	1.47	0.12	437.07	48.53	4.41	0.178
/broadcast/content/artist	14	122.46	46.43	14.29	0.278	101.89	46.43	17.86	0.303
/film/film/production_companies	84	166.92	33.33	4.17	0.129	153.98	36.31	4.76	0.15
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	5.0	100.0	0.0	0.211	2.67	100.0	0.0	0.422
/people/person/spouse_s./people/marriage/type_of_union	346	1191.25	50.14	36.27	0.424	401.72	50.43	38.58	0.439
/film/actor/dubbing_performances./film/dubbing_performance/language	12	733.92	45.83	16.67	0.296	677.29	45.83	16.67	0.296
/film/film/film_production_design_by	10	641.6	20.0	5.0	0.105	638.05	20.0	5.0	0.107
/education/educational_degree/people_with_this_degree./education/education/student	27	423.81	33.33	3.7	0.13	395.17	35.19	5.56	0.141
/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to	13	63.0	15.38	0.0	0.049	58.81	15.38	0.0	0.058
/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	11	435.68	31.82	9.09	0.153	426.14	31.82	9.09	0.163
/location/country/form_of_government	43	128.87	50.0	5.81	0.206	108.36	50.0	15.12	0.291
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category	20	54.6	50.0	0.0	0.196	30.68	65.0	0.0	0.234
/organization/organization/headquarters./location/mailing_address/citytown	55	981.35	17.27	0.0	0.048	970.05	19.09	0.0	0.054
/organization/organization_founder/organizations_founded	9	1836.11	11.11	0.0	0.02	1835.44	11.11	0.0	0.021
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	10.15	66.67	11.11	0.26	1.54	100.0	70.37	0.82
/education/educational_institution/colors	90	215.14	37.22	6.67	0.16	183.83	38.89	8.33	0.185
/people/person/sibling_s./people/sibling_relationship/sibling	7	1223.71	14.29	0.0	0.063	1223.29	14.29	0.0	0.067
/film/director/film	19	1099.53	26.32	2.63	0.094	1096.29	26.32	2.63	0.119
/people/person/nationality	494	1235.84	43.32	8.4	0.173	398.66	43.62	10.02	0.186
/education/educational_institution/students_graduates./education/education/student	311	1595.25	7.07	1.45	0.036	1583.79	7.88	1.93	0.042
/soccer/football_player/current_team./sports/sports_team_roster/team	9	217.89	0.0	0.0	0.024	213.56	5.56	0.0	0.027
