Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	272.2	50.0	47.83	49.02	65.23	57.61	48.91	52.13
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	315.64	47.73	45.45	46.74	193.93	47.73	45.45	47.19
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	1237.67	7.69	0.55	3.06	1232.86	10.99	2.75	5.49
/influence/influence_node/influenced_by	235	434.82	7.66	0.64	3.68	426.05	17.45	1.49	7.32
/organization/organization_member/member_of./organization/organization_membership/organization	96	88.47	47.4	4.69	16.22	44.02	78.65	43.75	55.14
/sports/sports_position/players./sports/sports_team_roster/team	22	129.16	38.64	0.0	11.01	30.41	63.64	15.91	31.94
/location/hud_county_place/county	7	681.86	7.14	0.0	2.36	680.93	7.14	0.0	2.41
/sports/sports_team/roster./american_football/football_roster_position/position	3	27.17	16.67	0.0	11.98	9.5	66.67	16.67	29.47
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	18.22	6.1	0.0	6.05	4.46	96.34	8.54	33.2
/music/artist/origin	34	1605.47	4.41	0.0	1.36	1599.19	4.41	0.0	1.39
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	1473.14	36.36	18.18	25.83	1460.55	45.45	18.18	29.03
/music/artist/track_contributions./music/track_contribution/role	152	198.16	7.57	0.33	3.56	163.55	16.78	2.3	7.75
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	398.28	16.67	0.0	5.32	391.78	27.78	0.0	9.75
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	206.18	26.47	2.94	9.64	198.16	51.47	8.82	19.73
/broadcast/content/artist	14	175.93	42.86	21.43	28.42	153.32	46.43	28.57	35.16
/film/film/production_companies	84	331.82	27.98	1.79	9.63	314.15	37.5	5.36	15.09
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	9.5	50.0	0.0	11.24	2.67	100.0	16.67	49.17
/people/person/spouse_s./people/marriage/type_of_union	346	1697.94	48.27	28.32	37.27	431.47	48.7	31.94	39.64
/film/actor/dubbing_performances./film/dubbing_performance/language	12	1598.58	37.5	37.5	37.75	1537.38	41.67	37.5	38.97
/film/film/film_production_design_by	10	366.95	30.0	15.0	19.5	362.85	30.0	15.0	20.67
/education/educational_degree/people_with_this_degree./education/education/student	27	634.52	29.63	1.85	8.82	599.31	31.48	3.7	10.98
/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to	13	91.5	23.08	0.0	5.44	86.85	34.62	0.0	10.92
/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	11	668.36	22.73	9.09	14.76	656.59	22.73	9.09	15.19
/location/country/form_of_government	43	68.86	47.67	2.33	18.46	35.79	53.49	22.09	34.92
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category	20	59.67	50.0	17.5	31.71	20.52	62.5	30.0	44.3
/organization/organization/headquarters./location/mailing_address/citytown	55	1312.81	14.55	4.55	8.5	1301.49	15.45	6.36	10.58
/organization/organization_founder/organizations_founded	9	2742.94	11.11	0.0	3.51	2742.22	11.11	0.0	4.9
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	14.46	44.44	3.7	13.15	2.26	100.0	50.0	68.82
/education/educational_institution/colors	90	293.14	27.78	0.56	8.32	247.23	33.33	6.11	13.45
/people/person/sibling_s./people/sibling_relationship/sibling	7	2691.93	14.29	0.0	1.58	2691.5	14.29	0.0	1.68
/film/director/film	19	1317.47	10.53	0.0	4.52	1313.87	10.53	0.0	4.69
/people/person/nationality	494	1282.61	34.62	8.0	16.07	395.0	38.26	9.41	18.33
/education/educational_institution/students_graduates./education/education/student	311	1893.94	3.22	0.16	1.35	1882.0	3.7	0.16	1.59
/soccer/football_player/current_team./sports/sports_team_roster/team	9	121.44	11.11	5.56	8.11	117.17	16.67	5.56	8.91
/award/award_winner/awards_won./award/award_honor/award_winner	41	392.21	32.93	0.0	9.43	386.21	74.39	3.66	23.49
/business/business_operation/revenue./measurement_unit/dated_money_value/currency	1	151.0	50.0	50.0	50.17	44.5	50.0	50.0	50.57
/user/alexander/philosophy/philosopher/interests	9	73.28	50.0	0.0	14.09	67.94	77.78	22.22	36.41
