Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	225.8	50.0	50.0	0.501	34.68	61.96	50.0	0.525
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	168.2	50.0	50.0	0.502	77.5	56.82	50.0	0.534
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	255.19	22.53	2.2	0.092	250.54	29.12	7.69	0.156
/influence/influence_node/influenced_by	235	54.36	20.43	0.21	0.068	45.96	40.85	0.21	0.138
/organization/organization_member/member_of./organization/organization_membership/organization	96	54.38	50.0	6.25	0.186	9.52	87.5	48.44	0.626
/sports/sports_position/players./sports/sports_team_roster/team	22	126.82	40.91	0.0	0.107	28.11	68.18	18.18	0.328
/location/hud_county_place/county	7	47.36	28.57	0.0	0.134	46.43	35.71	0.0	0.138
/sports/sports_team/roster./american_football/football_roster_position/position	3	36.67	0.0	0.0	0.045	15.83	66.67	0.0	0.196
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	18.67	6.1	0.0	0.059	3.95	96.34	20.73	0.44
/music/artist/origin	34	341.94	29.41	2.94	0.125	335.81	32.35	5.88	0.154
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	292.73	45.45	36.36	0.411	281.0	54.55	36.36	0.453
/music/artist/track_contributions./music/track_contribution/role	152	101.39	18.42	0.66	0.06	69.99	35.2	5.92	0.151
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	241.72	27.78	5.56	0.132	236.06	44.44	11.11	0.213
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	234.15	32.35	0.0	0.108	225.99	66.18	19.12	0.331
/broadcast/content/artist	14	88.68	50.0	32.14	0.401	67.57	67.86	50.0	0.556
/film/film/production_companies	84	91.61	38.1	5.36	0.173	74.51	57.74	22.02	0.342
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	11.17	33.33	0.0	0.09	3.0	100.0	0.0	0.361
