Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency	46	656.8	50.0	11.96	0.284	461.25	50.0	11.96	0.285
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type	22	407.64	50.0	29.55	0.399	321.82	50.0	29.55	0.399
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor	91	1426.04	12.09	2.2	0.054	1421.53	15.93	3.85	0.074
/influence/influence_node/influenced_by	235	461.55	25.53	2.55	0.097	455.16	31.28	4.04	0.129
/organization/organization_member/member_of./organization/organization_membership/organization	96	304.73	45.83	6.77	0.177	275.83	72.4	17.71	0.369
/sports/sports_position/players./sports/sports_team_roster/team	22	86.41	52.27	13.64	0.245	19.73	65.91	27.27	0.406
/location/hud_county_place/county	7	88.64	35.71	7.14	0.16	87.71	42.86	7.14	0.163
/sports/sports_team/roster./american_football/football_roster_position/position	3	23.0	16.67	0.0	0.058	11.0	83.33	0.0	0.236
/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	41	14.54	34.15	6.1	0.157	4.74	92.68	21.95	0.396
/music/artist/origin	34	1464.79	2.94	0.0	0.009	1458.51	2.94	0.0	0.009
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	11	2105.5	0.0	0.0	0.006	2092.73	0.0	0.0	0.006
/music/artist/track_contributions./music/track_contribution/role	152	175.05	20.39	2.3	0.085	151.33	30.92	4.93	0.126
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office	9	353.17	16.67	5.56	0.097	347.78	16.67	5.56	0.099
/military/military_conflict/combatants./military/military_combatant_group/combatants	34	452.81	41.18	7.35	0.175	446.9	58.82	16.18	0.274
/broadcast/content/artist	14	100.68	50.0	25.0	0.326	82.57	53.57	28.57	0.35
/film/film/production_companies	84	309.91	31.55	1.19	0.117	294.65	36.31	4.76	0.153
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members	3	9.67	33.33	0.0	0.125	4.0	100.0	0.0	0.274
/people/person/spouse_s./people/marriage/type_of_union	346	1167.1	50.0	38.87	0.44	429.85	50.14	42.05	0.459
/film/actor/dubbing_performances./film/dubbing_performance/language	12	734.13	50.0	20.83	0.309	672.67	50.0	20.83	0.309
/film/film/film_production_design_by	10	278.9	15.0	0.0	0.079	275.05	25.0	0.0	0.084
/education/educational_degree/people_with_this_degree./education/education/student	27	297.11	38.89	14.81	0.227	267.41	38.89	16.67	0.24
/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to	13	77.31	15.38	3.85	0.091	73.42	26.92	3.85	0.1
/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	11	395.59	36.36	13.64	0.218	383.95	36.36	18.18	0.243
/location/country/form_of_government	43	68.19	52.33	3.49	0.169	49.41	52.33	5.81	0.208
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category	20	61.85	47.5	20.0	0.301	36.98	60.0	25.0	0.375
/organization/organization/headquarters./location/mailing_address/citytown	55	1185.38	20.0	0.0	0.05	1174.01	20.91	0.0	0.054
/organization/organization_founder/organizations_founded	9	2445.94	0.0	0.0	0.013	2445.28	0.0	0.0	0.013
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	10.07	66.67	9.26	0.25	1.61	100.0	77.78	0.847
/education/educational_institution/colors	90	277.81	30.56	5.0	0.131	240.83	30.56	8.33	0.163
/people/person/sibling_s./people/sibling_relationship/sibling	7	1635.86	28.57	0.0	0.061	1635.43	28.57	0.0	0.068
/film/director/film	19	889.76	21.05	2.63	0.083	886.55	23.68	2.63	0.115
/people/person/nationality	494	1193.81	44.33	12.15	0.256	354.77	44.84	13.66	0.27
/education/educational_institution/students_graduates./education/education/student	311	1049.48	6.43	1.13	0.035	1038.2	7.23	2.09	0.044
/soccer/football_player/current_team./sports/sports_team_roster/team	9	214.33	5.56	0.0	0.031	210.67	11.11	0.0	0.038
/award/award_winner/awards_won./award/award_honor/award_winner	41	220.3	41.46	0.0	0.101	214.84	67.07	0.0	0.213
/business/business_operation/revenue./measurement_unit/dated_money_value/currency	1	108.5	50.0	50.0	0.502	49.5	50.0	50.0	0.505
/user/alexander/philosophy/philosopher/interests	9	24.11	55.56	0.0	0.129	19.78	61.11	0.0	0.185
/music/genre/parent_genre	97	184.7	37.11	4.64	0.144	177.84	40.72	5.67	0.178
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics	8	11.75	50.0	0.0	0.182	4.19	87.5	37.5	0.537
/film/special_film_performance_type/film_performance_type./film/performance/film	11	816.59	0.0	0.0	0.014	799.55	0.0	0.0	0.014
/common/topic/webpage./common/webpage/category	402	3578.59	50.0	50.0	0.5	2498.18	50.0	50.0	0.5
/soccer/football_team/current_roster./sports/sports_team_roster/position	12	239.29	50.0	4.17	0.21	47.88	50.0	29.17	0.405
/people/person/places_lived./people/place_lived/location	305	1305.6	6.56	0.16	0.025	1270.65	6.89	0.98	0.035
/sports/sports_team_location/teams	53	4964.27	0.0	0.0	0.002	4963.83	0.0	0.0	0.002
/music/group_member/membership./music/group_membership/group	22	60.66	56.82	20.45	0.312	58.36	56.82	25.0	0.343
/people/person/languages	98	796.98	36.73	5.1	0.151	650.26	38.78	5.61	0.164
/time/event/instance_of_recurring_event	11	2461.95	50.0	40.91	0.428	2447.18	81.82	59.09	0.705
/business/business_operation/industry	41	1057.39	26.83	9.76	0.167	1042.95	29.27	14.63	0.203
/film/film/film_art_direction_by	3	15.0	50.0	0.0	0.22	10.0	50.0	0.0	0.232
/film/film_set_designer/film_sets_designed	8	1364.94	25.0	0.0	0.071	1360.63	25.0	0.0	0.074
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics	63	28.44	29.37	0.79	0.102	11.21	73.02	11.9	0.291
/film/film/cinematography	17	790.94	11.76	0.0	0.038	786.18	11.76	0.0	0.038
/people/cause_of_death/people	94	3582.68	3.72	0.53	0.017	3560.15	4.26	0.53	0.019
/government/politician/government_positions_held./government/government_position_held/legislative_sessions	30	17.85	28.33	1.67	0.111	11.17	73.33	16.67	0.304
/film/film/other_crew./film/film_crew_gig/film_crew_role	606	279.04	43.56	7.18	0.175	104.57	49.92	24.59	0.337
/film/film/prequel	18	7.83	77.78	0.0	0.273	7.67	77.78	0.0	0.28
/film/film/country	131	528.5	44.27	18.7	0.271	265.69	45.8	26.34	0.323
/base/aareas/schema/administrative_area/administrative_area_type	20	48.0	57.5	50.0	0.531	3.45	92.5	55.0	0.649
/film/film/release_date_s./film/film_regional_release_date/film_release_region	1447	116.17	13.44	1.94	0.065	26.45	60.44	17.76	0.314
/music/genre/artists	664	215.47	27.11	3.77	0.112	173.2	41.11	13.03	0.221
/location/location/time_zones	137	396.46	46.72	22.99	0.332	289.53	46.72	22.99	0.334
/people/ethnicity/people	251	1036.73	16.73	0.8	0.056	969.87	17.53	2.59	0.072
/tv/tv_program/languages	24	138.23	52.08	41.67	0.471	53.98	64.58	43.75	0.503
/dataworld/gardening_hint/split_to	10	2923.7	50.0	35.0	0.418	2923.65	50.0	35.0	0.426
/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal	16	15.94	56.25	12.5	0.311	1.0	100.0	100.0	1.0
/award/award_category/nominees./award/award_nomination/nominated_for	858	131.88	24.36	3.21	0.098	88.34	42.89	9.21	0.198
/tv/tv_network/programs./tv/tv_network_duration/program	26	574.71	19.23	1.92	0.074	566.88	19.23	1.92	0.08
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	38	41.29	52.63	17.11	0.319	11.74	76.32	39.47	0.506
/people/deceased_person/place_of_burial	9	1707.78	0.0	0.0	0.003	1697.78	0.0	0.0	0.003
/olympics/olympic_games/participating_countries	23	42.87	50.0	15.22	0.264	17.91	67.39	19.57	0.335
/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program	9	689.17	22.22	0.0	0.059	681.28	27.78	5.56	0.111
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	31	785.55	9.68	0.0	0.027	778.06	11.29	0.0	0.033
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	32.56	38.55	0.0	0.098	22.45	78.04	0.23	0.246
/location/administrative_division/country	3	112.67	33.33	0.0	0.176	86.17	33.33	0.0	0.176
/music/artist/contribution./music/recording_contribution/performance_role	14	1260.25	14.29	3.57	0.065	1251.04	14.29	3.57	0.068
/medicine/disease/notable_people_with_this_condition	15	1113.1	3.33	3.33	0.042	1106.37	3.33	3.33	0.043
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	26.62	42.86	4.76	0.152	11.66	68.25	19.05	0.335
/sports/pro_athlete/teams./sports/sports_team_roster/team	16	170.97	18.75	0.0	0.079	167.88	18.75	3.13	0.097
/government/politician/government_positions_held./government/government_position_held/basic_title	16	309.53	37.5	9.38	0.171	300.59	37.5	9.38	0.191
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	8.0	83.33	0.0	0.131	2.5	100.0	16.67	0.5
/sports/sports_team/roster./basketball/basketball_roster_position/position	2	29.25	50.0	25.0	0.321	11.5	50.0	25.0	0.399
/tv/tv_program/country_of_origin	32	426.19	46.88	26.56	0.336	349.17	46.88	28.13	0.349
